p5_1,p5_2
8015,13
8322,20
3948,120
220,120
5867,13
6290,13
4580,13
3151,13
8349,145
3656,145
2363,13
6358,13
8369,145
5686,145
5974,13
8375,13
112,951
1503,120
7429,13
940,20
8382,145
7352,145
1799,145
2488,120
110,67
8346,430
226,120
8408,20
4868,20
1233,430
8415,13
4421,430
314,67
8418,13
2956,145
8420,13
1649,120
6286,145
1068,120
3350,13
7312,13
8443,145
8444,145
6993,13
8451,145
3674,13
794,13
8454,145
7180,145
6785,145
943,145
4603,145
3415,430
2352,13
8484,145
4569,430
3288,145
2751,13
8495,145
5193,13
8501,13
1997,5385
7683,145
517,67
582,67
3353,13
5935,13
203,67
846,13
3760,13
2295,430
8529,145
1416,13
7191,13
6498,145
3437,13
8544,2937
8545,13
7744,5385
610,67
5401,145
8547,5385
4174,430
4115,13
8558,13
542,951
8563,145
1506,67
1779,145
8379,145
1865,13
4930,13
4292,13
1260,145
4006,430
8584,145
8600,13
8119,145
4126,13
7341,430
5736,20
7548,13
6428,145
1489,67
8637,13
5491,13
8638,13
3555,145
945,120
8646,145
8653,20
1853,120
5758,13
6078,13
8662,20
7183,145
5309,13
6882,20
3834,13
3196,120
4990,145
3053,145
6037,13
8683,145
2618,13
3709,20
2024,120
7817,13
8392,13
8700,13
3888,430
8709,13
1835,13
4493,145
1404,1321
210,13
6342,13
5050,13
2002,145
2990,13
1475,145
8719,120
1894,145
6657,13
8729,13
5394,13
1766,67
4314,120
4059,20
8739,13
8740,145
783,67
2476,13
4405,430
4250,13
8745,13
4855,145
8747,13
4361,145
844,120
111,120
2542,13
854,67
1688,120
1993,120
8768,145
6568,13
5830,430
4354,13
5825,13
7043,13
8789,13
125,20
5204,145
4393,430
8798,13
3019,13
1428,120
4426,13
663,67
8814,145
7654,13
866,145
4801,13
5273,13
2646,13
2887,20
6748,20
8826,13
2525,120
3498,430
378,67
4040,13
4411,13
808,430
1974,20
7523,13
1448,13
6024,13
8849,145
699,13
5434,13
8194,13
983,120
8864,145
7678,13
4308,430
806,120
1104,67
8872,145
2998,145
803,67
4057,67
3542,13
4884,430
2655,13
7596,13
2489,145
2268,13
3519,13
8710,145
4084,13
5528,13
8907,13
6467,13
1594,67
8908,145
707,430
8093,145
8910,13
3762,13
1657,430
1578,120
604,13
3348,145
484,20
4539,145
6504,13
5780,13
2752,120
2083,145
8932,13
8933,13
675,120
4287,13
7448,13
3298,13
460,67
952,67
1246,13
7358,145
1364,67
5330,13
6594,13
1294,505
8963,13
6750,13
26,505
146,67
1492,120
8971,13
7962,13
8976,145
3729,145
8467,13
1988,13
5223,145
7785,13
6276,13
5,780
8989,145
356,3162
469,120
8552,13
3931,67
3386,145
6508,145
3032,120
2871,145
4615,13
3800,13
1148,13
2600,430
9026,13
8837,20
3615,13
9047,13
1573,67
9056,20
9059,145
9061,145
7229,145
2290,13
1586,13
876,13
4627,145
4316,13
9095,13
8585,13
2281,13
9115,13
1370,120
981,145
9122,13
1124,67
581,9141
9143,13
2596,145
2168,13
5966,145
6270,145
9153,13
4604,145
838,741
5891,13
485,13
7124,13
9176,13
958,120
215,145
2522,145
2241,145
1319,13
9189,13
2876,145
2702,13
2315,67
9215,13
4841,145
3753,13
8355,13
2406,67
9228,13
3,67
5292,13
1023,145
9246,13
9209,145
6634,145
8896,13
7154,13
5126,13
9256,145
744,13
6015,145
9269,13
3943,13
7362,13
862,67
3904,13
5203,5385
3253,13
8502,13
6341,741
1402,13
3617,13
9297,13
9299,13
2837,13
1532,13
6883,2937
7545,13
2688,13
3148,120
8830,13
3278,430
8748,13
7222,5385
138,67
4062,13
480,67
245,430
2663,13
418,145
5862,13
970,145
9369,13
6769,13
1464,145
3631,13
9381,13
9324,145
431,120
4476,13
1721,430
5982,13
2097,120
3472,430
3571,2937
4653,145
7096,430
1269,2937
2434,145
4927,145
302,120
3131,13
7294,13
6959,13
9429,13
9432,13
6997,430
459,67
2611,430
4479,145
7797,13
9463,13
4931,13
985,13
5915,13
6461,13
1867,145
2881,67
9473,13
623,20
1490,145
4699,13
5312,13
9481,13
9497,13
2479,145
2341,120
6648,13
6107,13
4803,13
1011,67
9509,145
8210,145
573,67
5718,13
1392,1321
2316,13
9520,145
1745,13
2234,13
4290,13
7599,13
2989,120
1783,13
3579,13
9551,13
2012,430
4645,145
3012,13
528,120
2279,13
3445,13
6414,13
1059,1321
2140,120
5411,13
1852,145
1106,120
9570,145
5134,13
7348,145
3910,145
9450,13
9584,145
3496,13
5933,13
2243,741
9468,13
3054,13
9595,145
9164,13
6726,145
3232,145
1001,120
8150,145
8358,145
2318,13
9613,13
9614,13
3493,145
9529,145
3411,145
9618,20
2473,120
1391,67
881,120
7202,13
6013,13
705,13
3837,13
9645,13
9646,13
1878,120
9281,13
901,505
9589,13
6327,20
2005,67
9653,145
8192,13
1536,5385
9656,145
4508,145
904,120
8530,13
4657,13
4021,430
1096,13
2972,430
8045,13
299,20
2033,13
3966,13
8001,13
8517,13
7708,13
7834,145
9691,145
5897,13
7339,145
8787,13
5847,20
9308,13
4368,13
609,120
1742,120
8412,13
6407,13
8498,145
9731,145
57,145
5363,145
7933,145
1827,145
4650,13
3706,145
1225,2937
3551,430
9755,145
2475,145
6317,13
9761,13
807,2937
9767,145
1694,13
9592,145
867,145
1508,67
1542,67
9780,145
3183,430
9785,13
5013,145
777,120
3256,430
7347,145
3683,13
9808,13
1198,67
3714,145
1758,2937
7562,145
9819,145
9826,13
8353,145
7151,13
230,505
4241,120
1897,67
3021,13
9843,13
4747,5385
8897,13
9853,145
2697,13
9864,145
8888,13
719,120
5009,13
5578,13
4095,13
5654,145
851,67
3075,120
4900,145
9485,13
4159,145
2206,120
2833,13
3176,145
9737,13
4130,13
2528,13
2599,13
3941,13
331,145
8818,13
4798,13
4100,13
4461,13
4553,13
9938,145
9942,145
9947,13
8196,13
1563,67
8979,145
1360,120
813,145
5635,13
1087,120
75,67
9972,13
7200,13
157,67
257,13
3588,145
1774,2937
4833,145
5499,430
9996,13
7489,13
3261,13
9650,20
5816,13
10022,13
4110,13
9800,13
249,67
176,13
6911,13
1780,13
17,10047
155,67
4751,430
2369,67
4448,13
885,67
10057,145
7960,145
8999,13
3789,13
53,145
2452,13
6715,145
8833,13
59,67
10100,145
7042,145
10055,145
1249,120
439,67
9487,13
2929,13
4264,145
4467,13
6543,13
2941,13
3827,430
2491,13
10143,2937
3006,13
10148,13
1925,13
1032,120
6466,13
6513,145
10164,145
332,741
4506,145
4611,145
9070,145
1825,13
8421,13
6055,145
10175,13
4177,13
427,2937
4942,145
6700,13
1654,430
2898,13
10190,145
4153,120
10194,13
10198,145
1655,67
10209,13
6138,145
381,20
4785,13
8827,13
70,13
3687,13
1512,145
6711,20
2190,430
1267,67
2808,13
4128,13
428,145
8793,13
9606,145
188,120
10092,13
3188,13
10264,13
5662,13
9271,13
3865,145
5377,145
10275,145
3057,13
10279,13
6492,13
7439,13
10286,145
2607,13
10290,13
1528,120
286,67
10298,13
10300,13
5063,145
6642,430
1891,13
4949,145
8962,145
1362,20
6779,13
5785,430
2536,67
10327,145
5651,145
1895,145
